points_mid,goal_diff_mid,shots_target_for_mid,goals_against_mid,form_index_mid,final_points
39.0,15.0,110.0,18.0,0.8,71.0
39.0,12.0,94.0,25.0,0.6666666666666666,81.0
36.0,17.0,124.0,20.0,0.4666666666666667,66.0
35.0,18.0,121.0,15.0,0.6666666666666666,70.0
31.0,7.0,84.0,16.0,0.6,42.0
30.0,6.0,69.0,16.0,0.1333333333333333,66.0
30.0,0.0,91.0,22.0,0.4666666666666667,60.0
29.0,5.0,84.0,23.0,0.4666666666666667,62.0
29.0,4.0,70.0,20.0,0.6666666666666666,45.0
29.0,1.0,66.0,19.0,0.6666666666666666,51.0
26.0,7.0,89.0,28.0,0.3333333333333333,47.0
24.0,3.0,91.0,23.0,0.2666666666666666,63.0
23.0,-6.0,57.0,24.0,0.3333333333333333,43.0
20.0,-6.0,80.0,29.0,0.3333333333333333,50.0
20.0,-10.0,70.0,32.0,0.4666666666666667,34.0
20.0,-12.0,81.0,34.0,0.6666666666666666,42.0
19.0,-8.0,70.0,24.0,0.3333333333333333,47.0
17.0,-15.0,60.0,34.0,0.4666666666666667,37.0
12.0,-19.0,64.0,38.0,0.0,39.0
8.0,-19.0,62.0,34.0,0.2,17.0
49.0,29.0,107.0,13.0,1.0,93.0
43.0,25.0,116.0,21.0,0.8666666666666667,76.0
40.0,22.0,97.0,19.0,0.6,75.0
39.0,23.0,122.0,14.0,0.8,86.0
39.0,18.0,107.0,21.0,0.6,78.0
36.0,10.0,114.0,19.0,1.0,69.0
27.0,2.0,90.0,23.0,0.4666666666666667,61.0
26.0,2.0,59.0,23.0,0.4,45.0
24.0,-3.0,91.0,22.0,0.4666666666666667,46.0
24.0,-5.0,76.0,31.0,0.4,46.0
23.0,-8.0,58.0,29.0,0.6,40.0
22.0,-10.0,67.0,33.0,0.6666666666666666,45.0
22.0,-11.0,71.0,34.0,0.2666666666666666,40.0
21.0,-10.0,69.0,32.0,0.1333333333333333,44.0
20.0,-7.0,66.0,31.0,0.4666666666666667,44.0
18.0,-5.0,49.0,22.0,0.2,28.0
16.0,-6.0,79.0,35.0,0.1333333333333333,41.0
14.0,-18.0,55.0,35.0,0.2,24.0
13.0,-25.0,66.0,41.0,0.1333333333333333,34.0
12.0,-23.0,81.0,44.0,0.2,41.0
55.0,48.0,143.0,12.0,1.0,100.0
42.0,27.0,94.0,14.0,0.6666666666666666,81.0
39.0,18.0,109.0,14.0,0.6666666666666666,70.0
35.0,18.0,124.0,23.0,0.6,75.0
34.0,16.0,107.0,18.0,0.6666666666666666,77.0
34.0,11.0,120.0,23.0,0.4,63.0
32.0,1.0,62.0,15.0,0.4666666666666667,54.0
27.0,1.0,68.0,28.0,0.6666666666666666,47.0
26.0,-6.0,63.0,30.0,0.7333333333333333,49.0
22.0,-7.0,56.0,34.0,0.0666666666666666,41.0
22.0,-14.0,59.0,31.0,0.4666666666666667,37.0
21.0,-8.0,52.0,23.0,0.2666666666666666,40.0
19.0,-7.0,60.0,25.0,0.2,36.0
19.0,-18.0,64.0,40.0,0.4,33.0
18.0,-10.0,81.0,29.0,0.2,44.0
18.0,-13.0,75.0,29.0,0.6,44.0
17.0,-16.0,67.0,35.0,0.4666666666666667,42.0
16.0,-13.0,63.0,28.0,0.1333333333333333,44.0
14.0,-13.0,58.0,27.0,0.1333333333333333,31.0
13.0,-15.0,39.0,26.0,0.2666666666666666,33.0
51.0,36.0,119.0,7.0,1.0,97.0
45.0,24.0,102.0,18.0,1.0,71.0
44.0,36.0,131.0,15.0,0.4,98.0
40.0,21.0,102.0,16.0,0.6,72.0
38.0,16.0,92.0,25.0,0.5333333333333333,70.0
32.0,6.0,121.0,31.0,0.6666666666666666,66.0
28.0,2.0,82.0,22.0,0.4666666666666667,52.0
